"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 SR1)","2024-Oct-04 02:03 ± < 00:01","0.01457","0.01453","5.91","5.88","27.3","9.2 m -   21 m","0"
"(2024 TW)","2024-Oct-04 09:27 ± < 00:01","0.00651","0.00649","10.68","10.64","29.0","4.3 m -  9.5 m","0"
"(2024 TF)","2024-Oct-04 18:38 ± < 00:01","0.00201","0.00200","5.97","5.75","29.2","3.9 m -  8.7 m","0"
"(2024 TJ)","2024-Oct-04 20:16 ± < 00:01","0.01007","0.01003","12.32","12.30","26.8","12 m -   26 m","0"
"(2024 SY4)","2024-Oct-04 23:02 ±    00:01","0.02503","0.02492","4.92","4.90","27.9","7.1 m -   16 m","0"
"(2024 RJ32)","2024-Oct-05 03:17 ± < 00:01","0.01958","0.01955","6.57","6.55","24.7","31 m -   69 m","0"
"(2024 SL3)","2024-Oct-05 05:59 ± < 00:01","0.02089","0.02075","12.60","12.59","26.3","15 m -   33 m","0"
"(2023 GM1)","2024-Oct-05 11:35 ±    00:59","0.03946","0.03904","5.20","5.19","27.3","9.4 m -   21 m","0"
"(2024 SY5)","2024-Oct-05 13:59 ± < 00:01","0.01096","0.01092","6.02","5.98","28.0","6.6 m -   15 m","0"
"(2024 SZ1)","2024-Oct-05 19:11 ± < 00:01","0.02815","0.02796","20.25","20.25","25.0","27 m -   60 m","0"
"(2014 VA)","2024-Oct-05 21:22 ± < 00:01","0.04636","0.04636","6.30","6.29","24.4","35 m -   78 m","0"
"(2024 SH3)","2024-Oct-05 22:36 ±    00:01","0.04868","0.04831","8.22","8.22","25.8","18 m -   41 m","0"
"(2022 SU21)","2024-Oct-06 05:04 ± 2_16:19","0.04488","0.00682","21.10","21.10","24.5","33 m -   74 m","0"
"(2024 TD)","2024-Oct-06 05:31 ± < 00:01","0.02480","0.02471","10.92","10.91","26.9","11 m -   25 m","0"
"(2024 SD6)","2024-Oct-06 16:39 ± < 00:01","0.01236","0.01231","6.78","6.75","27.5","8.2 m -   18 m","0"
"(2022 FC5)","2024-Oct-06 20:22 ± < 00:01","0.04152","0.04151","19.32","19.31","24.8","29 m -   66 m","0"
"671076 (2014 FP47)","2024-Oct-07 03:33 ± < 00:01","0.03281","0.03281","8.64","8.63","22.4","90 m -  200 m","1"
"(2024 SU3)","2024-Oct-07 03:35 ± < 00:01","0.01446","0.01441","9.06","9.04","26.0","16 m -   37 m","0"
"(2024 TY)","2024-Oct-07 04:57 ±    00:13","0.00451","0.00449","15.21","15.17","26.1","16 m -   36 m","1"
"(2024 SF5)","2024-Oct-07 07:51 ±    00:03","0.03920","0.03910","4.80","4.79","24.9","27 m -   61 m","0"
"(2024 SN8)","2024-Oct-08 06:30 ±    00:04","0.00829","0.00825","14.02","14.00","25.9","18 m -   40 m","0"
"(2016 JG38)","2024-Oct-08 15:12 ± < 00:01","0.03384","0.03383","11.97","11.97","24.0","42 m -   93 m","0"
"(2018 QE)","2024-Oct-09 04:03 ± 5_23:33","0.00447","0.00284","4.40","4.27","27.7","7.7 m -   17 m","0"
"(2024 SM)","2024-Oct-10 12:21 ±    00:02","0.01889","0.01879","6.68","6.66","25.4","22 m -   50 m","0"
"363027 (1998 ST27)","2024-Oct-12 01:52 ± < 00:01","0.02380","0.02380","16.63","16.62","19.6","0.578±0.228 km","2"
"(2008 UU95)","2024-Oct-12 11:25 ± < 00:01","0.03452","0.03452","15.61","15.60","23.6","50 m -  110 m","0"
"(2024 SM4)","2024-Oct-13 22:23 ±    00:02","0.04841","0.04808","13.80","13.79","23.9","44 m -   99 m","0"
"(2021 TK11)","2024-Oct-14 05:28 ± 2_12:07","0.02040","0.00505","10.58","10.57","28.6","5.2 m -   12 m","0"
"(2022 TB41)","2024-Oct-15 17:43 ± 3_20:02","0.02550","0.01957","6.04","6.02","29.8","3.0 m -  6.6 m","0"
"(2024 SD2)","2024-Oct-17 00:36 ±    00:08","0.02592","0.02570","6.11","6.09","25.6","20 m -   45 m","0"
"(2019 UH14)","2024-Oct-17 19:47 ±    09:01","0.02130","0.01986","10.40","10.39","23.8","46 m -  100 m","1"
"(2024 RV50)","2024-Oct-18 17:02 ±    00:02","0.04958","0.04957","15.57","15.57","21.1","160 m -  360 m","1"
"(2024 SH1)","2024-Oct-20 18:15 ±    00:08","0.01641","0.01633","2.67","2.61","26.9","11 m -   24 m","0"
"(2024 SE4)","2024-Oct-22 17:18 ±    04:03","0.01770","0.01750","2.22","2.15","27.7","7.5 m -   17 m","0"
"(2015 HM1)","2024-Oct-24 04:36 ± 4_20:05","0.03694","0.01219","10.88","10.87","25.2","24 m -   54 m","0"
"363305 (2002 NV16)","2024-Oct-24 15:47 ± < 00:01","0.03021","0.03021","4.87","4.85","21.4","140 m -  310 m","1"
"(2021 UE2)","2024-Oct-24 21:37 ±    13:45","0.03475","0.03087","7.12","7.11","24.7","30 m -   68 m","0"
"(2023 TG14)","2024-Oct-24 23:34 ±    00:41","0.01681","0.01605","6.90","6.88","25.8","18 m -   40 m","0"
"(2007 UT3)","2024-Oct-26 20:04 ± 4_12:08","0.04521","0.00996","10.38","10.37","25.9","18 m -   39 m","0"
"(2020 WG)","2024-Oct-28 06:35 ± < 00:01","0.02223","0.02223","9.43","9.42","21.7","120 m -  270 m","1"
"(2021 CV1)","2024-Oct-30 19:46 ± 3_08:55","0.03690","0.00540","23.60","23.60","24.9","28 m -   63 m","0"
"(2023 KX3)","2024-Oct-31 15:28 ±    00:38","0.04817","0.04812","2.44","2.41","25.8","19 m -   42 m","0"
"(2022 UD21)","2024-Oct-31 22:11 ± 2_11:59","0.02929","0.02660","11.75","11.74","25.6","20 m -   45 m","0"
"(2016 VA)","2024-Nov-01 22:52 ±    14:48","0.00378","0.00076","21.17","21.13","27.6","8.0 m -   18 m","0"
"(2023 VS)","2024-Nov-04 14:51 ±    00:36","0.03882","0.03803","4.32","4.31","29.8","2.9 m -  6.4 m","0"
"(2019 WB7)","2024-Nov-11 12:35 ± 8_08:05","0.04440","0.03586","5.70","5.69","24.4","35 m -   78 m","0"
"(2020 UL3)","2024-Nov-12 12:27 ± < 00:01","0.01047","0.01047","10.46","10.44","23.2","61 m -  140 m","1"
"(2020 AB2)","2024-Nov-13 03:55 ± 4_23:53","0.04828","0.03832","7.20","7.19","27.0","11 m -   24 m","0"
"(2019 VU5)","2024-Nov-14 21:12 ± 9_20:56","0.03070","0.00665","23.31","23.31","24.4","35 m -   77 m","0"
"(2019 VL5)","2024-Nov-14 23:43 ± < 00:01","0.02461","0.02461","8.49","8.47","25.9","18 m -   40 m","0"
"(2023 WK3)","2024-Nov-18 13:40 ±    01:28","0.04120","0.04039","14.48","14.47","20.6","200 m -  460 m","1"
"(2012 KO11)","2024-Nov-20 02:27 ± 3_18:47","0.01575","0.01556","9.43","9.41","24.6","32 m -   71 m","0"
"(2020 VX4)","2024-Nov-20 20:34 ± 1_12:54","0.02698","0.00540","10.48","10.47","27.5","8.4 m -   19 m","0"
"(2009 WB105)","2024-Nov-25 00:44 ± < 00:01","0.03868","0.03868","18.90","18.89","23.5","53 m -  120 m","0"
"(2006 WB)","2024-Nov-26 18:00 ± < 00:01","0.00596","0.00596","4.20","4.10","22.8","73 m -  160 m","2"
"(2018 DC4)","2024-Nov-29 07:28 ± 1_03:07","0.04808","0.04217","4.49","4.47","27.3","9.2 m -   21 m","0"
"(2019 JN2)","2024-Nov-30 07:39 ±    01:04","0.02397","0.02342","7.71","7.70","25.7","19 m -   43 m","0"
"(2021 XZ)","2024-Dec-02 09:14 ± 1_22:20","0.03376","0.02009","7.40","7.39","28.2","6.1 m -   14 m","0"